school_id,school_name,borough,year,enrolment,math_score,reading_score,writing_score,attendance_rate_pct,economically_disadvantaged_pct,student_teacher_ratio,graduation_rate_pct
SCH-001,Bronx Academy 01,Bronx,2021,881,389.0,487.2,432.2,78.7,88.2,18.7,69.3
SCH-001,Bronx Academy 01,Bronx,2022,1077,492.9,462.0,433.2,82.5,88.2,18.7,68.9
SCH-001,Bronx Academy 01,Bronx,2023,887,439.7,438.1,500.2,87.9,88.2,18.7,70.8
SCH-001,Bronx Academy 01,Bronx,2024,724,499.6,522.3,471.2,83.7,88.2,18.7,69.4
SCH-001,Bronx Academy 01,Bronx,2025,622,439.7,519.5,464.1,81.9,88.2,18.7,72.6
SCH-002,Bronx Academy 02,Bronx,2021,349,500.2,423.2,458.3,87.2,86.7,20.9,62.5
SCH-002,Bronx Academy 02,Bronx,2022,1263,444.7,506.2,569.1,88.8,86.7,20.9,63.7
SCH-002,Bronx Academy 02,Bronx,2023,878,576.9,409.7,466.3,87.1,86.7,20.9,65.0
SCH-002,Bronx Academy 02,Bronx,2024,613,501.9,401.9,502.3,86.9,86.7,20.9,70.9
SCH-002,Bronx Academy 02,Bronx,2025,1238,412.9,437.0,487.7,82.7,86.7,20.9,73.5
SCH-003,Bronx Academy 03,Bronx,2021,895,473.7,483.0,423.6,85.9,71.7,15.8,66.3
SCH-003,Bronx Academy 03,Bronx,2022,621,396.6,452.3,424.4,80.4,71.7,15.8,72.5
SCH-003,Bronx Academy 03,Bronx,2023,470,,499.1,381.8,86.1,71.7,15.8,67.1
SCH-003,Bronx Academy 03,Bronx,2024,375,570.0,535.8,456.2,88.2,71.7,15.8,67.5
SCH-003,Bronx Academy 03,Bronx,2025,689,484.2,469.9,541.4,87.4,71.7,15.8,71.0
SCH-004,Bronx Academy 04,Bronx,2021,1026,498.1,402.3,505.8,83.6,66.3,14.2,67.7
SCH-004,Bronx Academy 04,Bronx,2022,348,515.5,454.0,532.6,85.0,66.3,14.2,69.9
SCH-004,Bronx Academy 04,Bronx,2023,1243,491.4,533.2,494.9,81.4,66.3,14.2,67.2
SCH-004,Bronx Academy 04,Bronx,2024,1121,463.9,556.1,487.5,87.5,66.3,14.2,77.1
SCH-004,Bronx Academy 04,Bronx,2025,434,437.3,442.0,511.4,85.7,66.3,14.2,68.5
SCH-005,Bronx Academy 05,Bronx,2021,821,460.4,460.6,482.6,unknown,76.9,18.0,69.0
SCH-005,Bronx Academy 05,Bronx,2022,831,385.5,444.0,389.2,85.8,76.9,18.0,69.0
SCH-005,Bronx Academy 05,Bronx,2023,1266,355.5,416.6,475.2,87.4,76.9,18.0,66.7
SCH-005,Bronx Academy 05,Bronx,2024,375,436.7,505.7,444.2,83.7,76.9,18.0,64.9
SCH-005,Bronx Academy 05,Bronx,2025,576,442.0,453.4,506.6,90.2,76.9,18.0,62.0
SCH-006,Bronx Academy 06,Bronx,2021,1124,484.3,485.1,439.9,84.8,83.9,19.1,64.5
SCH-006,Bronx Academy 06,Bronx,2022,910,397.3,426.3,445.1,86.8,83.9,19.1,64.5
SCH-006,Bronx Academy 06,Bronx,2023,943,441.7,459.4,446.1,85.2,83.9,19.1,70.8
SCH-006,Bronx Academy 06,Bronx,2024,605,469.5,460.4,381.7,84.9,83.9,19.1,66.5
SCH-006,Bronx Academy 06,Bronx,2025,983,420.4,471.3,512.5,88.3,83.9,19.1,68.7
SCH-007,Bronx Academy 07,Bronx,2021,1028,464.7,431.7,460.3,82.7,54.4,18.5,78.6
SCH-007,Bronx Academy 07,Bronx,2022,955,,450.6,525.3,88.6,54.4,18.5,66.6
SCH-007,Bronx Academy 07,Bronx,2023,426,514.4,500.3,442.1,86.6,54.4,18.5,63.7
SCH-007,Bronx Academy 07,Bronx,2024,338,553.7,415.6,594.9,90.0,54.4,18.5,72.4
SCH-007,Bronx Academy 07,Bronx,2025,1098,524.0,487.3,462.7,90.9,54.4,18.5,75.5
SCH-008,Bronx Academy 08,Bronx,2021,669,511.3,440.1,514.9,85.0,83.7,18.3,68.1
SCH-008,Bronx Academy 08,Bronx,2022,955,454.9,472.9,443.0,82.4,83.7,18.3,67.9
SCH-008,Bronx Academy 08,Bronx,2023,1298,,466.3,389.8,84.9,83.7,18.3,63.0
SCH-008,Bronx Academy 08,Bronx,2024,454,433.3,533.5,410.9,88.2,83.7,18.3,72.5
SCH-008,Bronx Academy 08,Bronx,2025,1159,489.0,513.3,481.9,88.6,83.7,18.3,66.0
SCH-009,Bronx Academy 09,Bronx,2021,500,426.4,556.3,457.9,82.7,69.1,19.7,70.2
SCH-009,Bronx Academy 09,Bronx,2022,586,424.5,463.9,417.3,89.4,69.1,19.7,68.3
SCH-009,Bronx Academy 09,Bronx,2023,344,421.6,451.8,443.3,82.9,69.1,19.7,69.2
SCH-009,Bronx Academy 09,Bronx,2024,1114,,434.5,452.1,86.5,69.1,19.7,73.2
SCH-009,Bronx Academy 09,Bronx,2025,602,409.5,436.2,517.3,86.1,69.1,19.7,75.5
SCH-010,Bronx Academy 10,Bronx,2021,957,510.4,442.3,437.6,unknown,85.0,18.5,67.3
SCH-010,Bronx Academy 10,Bronx,2022,434,506.4,409.3,487.2,83.5,85.0,18.5,65.3
